      w1[rad/s]       w2[rad/s] beta1[deg] beta2[deg] DOF MOD(QTF)/rho/g PHASE(QTF)[deg] Re(QTF)/rho/g Im(QTF)/rho/g
       0.691        0.063        0.000        0.000  1  0.9343323E+01 -0.2958196E+02  0.8125424E+01 -0.4612500E+01
       0.691        0.126        0.000        0.000  1  0.7697616E+01 -0.1417812E+02  0.7463138E+01 -0.1885432E+01
       0.691        0.188        0.000        0.000  1  0.9729187E+01  0.4263092E+01  0.9702269E+01  0.7232324E+00
       0.691        0.251        0.000        0.000  1  0.1025557E+02 -0.6575030E+02  0.4212107E+01 -0.9350662E+01
       0.691        0.314        0.000        0.000  1  0.6029320E+01 -0.1526138E+00  0.6029298E+01 -0.1605975E-01
       0.691        0.377        0.000        0.000  1  0.8445194E+01  0.7244624E+01  0.8377774E+01  0.1064989E+01
       0.691        0.440        0.000        0.000  1  0.1064369E+02  0.9999781E+01  0.1048200E+02  0.1848218E+01
       0.691        0.502        0.000        0.000  1  0.1390633E+02  0.7418455E+01  0.1378993E+02  0.1795516E+01
       0.691        0.565        0.000        0.000  1  0.1562444E+02  0.8140478E+01  0.1546700E+02  0.2212430E+01
       0.691        0.628        0.000        0.000  1  0.1658630E+02  0.5286777E+01  0.1651575E+02  0.1528275E+01
       0.691        0.691        0.000        0.000  1  0.1519043E+02  0.7413667E+01  0.1506344E+02  0.1960054E+01
       0.754        0.063        0.000        0.000  1  0.9296861E+01 -0.1195572E+02  0.9095193E+01 -0.1925898E+01
       0.754        0.126        0.000        0.000  1  0.8559509E+01 -0.1049033E+01  0.8558075E+01 -0.1567079E+00
       0.754        0.188        0.000        0.000  1  0.1408196E+02  0.2349753E+02  0.1291424E+02  0.5614611E+01
       0.754        0.251        0.000        0.000  1  0.1268714E+02 -0.8409847E+02  0.1304477E+01 -0.1261990E+02
       0.754        0.314        0.000        0.000  1  0.4077426E+01 -0.2264446E+02  0.3763104E+01 -0.1569857E+01
       0.754        0.377        0.000        0.000  1  0.6270719E+01 -0.6589283E+01  0.6229296E+01 -0.7195734E+00
       0.754        0.440        0.000        0.000  1  0.1092780E+02 -0.1412902E+01  0.1092448E+02 -0.2694499E+00
       0.754        0.502        0.000        0.000  1  0.1293717E+02  0.8579844E+01  0.1279239E+02  0.1930064E+01
       0.754        0.565        0.000        0.000  1  0.1402264E+02  0.5850738E+01  0.1394959E+02  0.1429429E+01
       0.754        0.628        0.000        0.000  1  0.1380007E+02  0.8027221E+01  0.1366485E+02  0.1927091E+01
       0.754        0.691        0.000        0.000  1  0.8678628E+01  0.7387052E+01  0.8606598E+01  0.1115824E+01
       0.754        0.754        0.000        0.000  1  0.2872092E+01  0.1291518E+02  0.2799434E+01  0.6419368E+00
       0.816        0.063        0.000        0.000  1  0.7297923E+01 -0.1246755E+02  0.7125826E+01 -0.1575524E+01
       0.816        0.126        0.000        0.000  1  0.1097244E+02  0.6222455E+01  0.1090779E+02  0.1189291E+01
       0.816        0.188        0.000        0.000  1  0.1954539E+02  0.3167871E+02  0.1663325E+02  0.1026437E+02
       0.816        0.251        0.000        0.000  1  0.1932821E+02 -0.1210994E+03 -0.9983505E+01 -0.1655020E+02
       0.816        0.314        0.000        0.000  1  0.7463714E+01 -0.1046605E+03 -0.1888995E+01 -0.7220715E+01
       0.816        0.377        0.000        0.000  1  0.8088532E+01 -0.4217916E+02  0.5993998E+01 -0.5431054E+01
       0.816        0.440        0.000        0.000  1  0.7762661E+01 -0.7913123E+01  0.7688745E+01 -0.1068696E+01
       0.816        0.502        0.000        0.000  1  0.8827763E+01 -0.5960813E+01  0.8780032E+01 -0.9167477E+00
       0.816        0.565        0.000        0.000  1  0.8909297E+01  0.1862317E+01  0.8904592E+01  0.2895330E+00
       0.816        0.628        0.000        0.000  1  0.4665309E+01 -0.4878849E+00  0.4665140E+01 -0.3972555E-01
       0.816        0.691        0.000        0.000  1  0.4517149E+00 -0.1665853E+03 -0.4393904E+00 -0.1047969E+00
       0.816        0.754        0.000        0.000  1  0.7231983E+01 -0.1653958E+03 -0.6998324E+01 -0.1823467E+01
       0.816        0.816        0.000        0.000  1  0.1173035E+02 -0.1796507E+03 -0.1173013E+02 -0.7151343E-01
       0.879        0.063        0.000        0.000  1  0.9906428E+01 -0.1335791E+02  0.9638418E+01 -0.2288715E+01
       0.879        0.126        0.000        0.000  1  0.1018478E+02  0.1912416E+02  0.9622688E+01  0.3336699E+01
